
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-08-07 03:31:42 /api/teams ................................. ~ 500.52ms
  2025-08-07 03:31:47 /api/simple/teams ............................ ~ 0.20ms
  2025-08-07 03:31:47 /api/simple/players .......................... ~ 0.05ms
  2025-08-07 03:31:47 /api/simple/matches .......................... ~ 0.06ms
  2025-08-07 03:31:47 /api/simple/teams ............................ ~ 0.06ms
  2025-08-07 03:31:47 /api/simple/teams ............................ ~ 0.04ms
  2025-08-07 03:31:47 /api/simple/players .......................... ~ 0.03ms
  2025-08-07 03:31:47 /api/simple/teams ............................ ~ 0.04ms
  2025-08-07 03:31:47 /api/simple/players .......................... ~ 0.04ms
  2025-08-07 03:31:47 /api/simple/teams ............................ ~ 0.04ms
  2025-08-07 03:31:47 /api/simple/teams/99999 ...................... ~ 0.05ms
  2025-08-07 03:31:47 /api/simple/teams/1 .......................... ~ 0.06ms
  2025-08-07 03:31:47 /api/simple/players ........................ ~ 500.60ms
  2025-08-07 03:31:52 /api/teams ................................... ~ 0.20ms
  2025-08-07 03:32:13 /api/players ............................... ~ 501.32ms
  2025-08-07 03:32:29 /api/teams/57 ................................ ~ 2.82ms
  2025-08-07 03:32:57 /api/teams/57 ................................ ~ 5.96ms
  2025-08-07 03:34:24 /api/teams ................................... ~ 6.69ms
  2025-08-07 03:34:24 /api/players ................................. ~ 0.05ms
  2025-08-07 03:34:25 /api/admin/teams ............................. ~ 0.03ms
  2025-08-07 03:34:25 /api/admin/players ........................... ~ 0.23ms
  2025-08-07 03:34:25 /api/teams ................................... ~ 0.06ms
  2025-08-07 03:34:25 /api/admin/teams/57 .......................... ~ 0.08ms
  2025-08-07 03:34:25 /api/players ................................. ~ 0.07ms
  2025-08-07 03:34:25 /api/admin/players/768 ....................... ~ 0.05ms
  2025-08-07 03:52:30 /api/matches/6 ............................. ~ 502.58ms
  2025-08-07 03:52:30 /api/admin/matches/6/live-scoring ............ ~ 0.07ms
  2025-08-07 03:52:30 /api/matches/6 ............................... ~ 0.05ms
  2025-08-07 03:52:30 /api/admin/matches/6/live-scoring ............ ~ 0.03ms
  2025-08-07 03:52:30 /api/matches/6 ............................... ~ 0.03ms
  2025-08-07 03:52:30 /api/admin/matches/6/live-scoring ............ ~ 0.03ms
  2025-08-07 03:52:31 /api/matches/6 ............................... ~ 0.03ms
  2025-08-07 03:52:31 /api/admin/matches/6/live-scoring .......... ~ 500.87ms
  2025-08-07 03:52:31 /api/matches/6 ............................... ~ 0.04ms
  2025-08-07 03:52:31 /api/admin/matches/6/live-scoring ............ ~ 0.04ms
  2025-08-07 03:52:31 /api/admin/matches/6/live-scoring ............ ~ 0.03ms
  2025-08-07 03:52:31 /api/admin/matches/6/live-scoring ............ ~ 0.03ms
  2025-08-07 03:52:31 /api/admin/matches/6/live-scoring ............ ~ 0.03ms
  2025-08-07 03:52:31 /api/admin/matches/6/live-scoring ............ ~ 0.03ms
  2025-08-07 03:52:31 /api/matches/6 ............................. ~ 500.75ms
  2025-08-07 03:52:31 /api/admin/matches/99999/live-scoring ........ ~ 0.07ms
  2025-08-07 03:52:31 /api/admin/matches/6/live-scoring ............ ~ 0.07ms
  2025-08-07 03:53:17 /api/matches/6 ............................... ~ 0.23ms
  2025-08-07 03:53:21 /api/matches/6 ............................... ~ 0.17ms
  2025-08-07 03:53:42 /api/admin/matches/6/live-scoring ............ ~ 0.38ms
